"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.988519667E0,-1.921055466E-1,-5.491035432E-2,-5.915030465E-2
2.998464667E0,-1.677799672E-1,-4.001902416E-2,-7.342138886E-2
3.008408667E0,-1.525693834E-1,-3.317469731E-2,-9.334044158E-2
3.018353667E0,-1.482159197E-1,-2.199021727E-2,-1.231183112E-1
3.028298667E0,-1.464087963E-1,5.550766364E-4,-1.535066813E-1
3.038242667E0,-1.449877471E-1,1.614575461E-2,-1.643167138E-1
3.048187667E0,-1.439000219E-1,2.515161783E-2,-1.571795940E-1
3.058132667E0,-1.442494243E-1,2.261016332E-2,-1.386442631E-1
3.068076667E0,-1.464914382E-1,-2.870917786E-3,-1.198186874E-1
3.078021667E0,-1.354798079E-1,-2.098680474E-2,-1.040178835E-1
3.087966667E0,-1.235732511E-1,-4.037165269E-2,-9.959888458E-2
3.097910667E0,-1.046040803E-1,-5.915839225E-2,-1.034772471E-1
3.107855667E0,-7.801073045E-2,-6.847550720E-2,-9.742876887E-2
3.117800667E0,-4.874125868E-2,-6.356011331E-2,-9.338156134E-2
3.127744667E0,-2.182664163E-2,-5.146806687E-2,-9.578055888E-2
3.137689667E0,-9.759593755E-3,-3.998504952E-2,-1.007787734E-1
3.147634667E0,-9.926760569E-3,-3.817079961E-2,-1.019828692E-1
3.157578667E0,-1.322162244E-2,-3.894710913E-2,-9.872156382E-2
3.167523667E0,-1.391200535E-2,-4.009389877E-2,-9.900546819E-2
3.177468667E0,-1.078598760E-2,-3.709091991E-2,-9.763927013E-2
3.187412667E0,-5.215462763E-3,-2.444633842E-2,-1.024467871E-1
3.197357667E0,4.155668430E-3,-1.134331897E-2,-9.514839202E-2
3.207302667E0,1.448936388E-2,1.907462021E-3,-8.889704943E-2
3.217246667E0,1.724094152E-2,8.591463789E-3,-7.990887761E-2
3.227191667E0,4.064595792E-3,-5.275648553E-3,-8.785416931E-2
3.237136667E0,-2.952239290E-2,-1.962262951E-2,-1.058781818E-1
3.247080667E0,-6.365077198E-2,-3.347022086E-2,-1.250062585E-1
3.257025667E0,-9.713469446E-2,-3.566014022E-2,-1.365089864E-1
